group_type,group,n,positives,negatives,accuracy,sensitivity,specificity,precision,f1,auc_roc,tp,tn,fp,fn,mean_probability_exudates,accuracy_percent,sensitivity_percent,specificity_percent,precision_percent,f1_percent,auc_roc_percent,mean_probability_exudates_percent
quality_group,calidad_baja_o_desafiante,423,198,225,0.8463356973995272,0.8737373737373737,0.8222222222222222,0.812206572769953,0.8418491484184915,0.9245117845117845,173,185,40,25,0.4890393082726192,84.63,87.37,82.22,81.22,84.18,92.45,48.9
quality_group,calidad_intermedia,114,74,40,0.8771929824561403,0.918918918918919,0.8,0.8947368421052632,0.9066666666666666,0.9415540540540541,68,32,8,6,0.6376272171588713,87.72,91.89,80.0,89.47,90.67,94.16,63.76
quality_group,calidad_mas_favorable,106,52,54,0.8207547169811321,0.9230769230769231,0.7222222222222222,0.7619047619047619,0.8347826086956521,0.9316239316239316,48,39,15,4,0.5340988966197057,82.08,92.31,72.22,76.19,83.48,93.16,53.41
brightness_group,clara,219,129,90,0.8904109589041096,0.9069767441860465,0.8666666666666667,0.9069767441860465,0.9069767441860465,0.9407407407407407,117,78,12,12,0.5730583403667767,89.04,90.7,86.67,90.7,90.7,94.07,57.31
brightness_group,intermedia,212,103,109,0.839622641509434,0.9029126213592233,0.7798165137614679,0.7948717948717948,0.8454545454545455,0.9406787209405897,93,85,24,10,0.5210568639801217,83.96,90.29,77.98,79.49,84.55,94.07,52.11
brightness_group,oscura,212,92,120,0.8113207547169812,0.8586956521739131,0.775,0.7452830188679245,0.797979797979798,0.9042572463768115,79,93,27,13,0.4726593466651327,81.13,85.87,77.5,74.53,79.8,90.43,47.27
contrast_group,alto_contraste,219,134,85,0.8264840182648402,0.9029850746268657,0.7058823529411765,0.8287671232876712,0.8642857142857143,0.9165057067603161,121,60,25,13,0.6099745605659743,82.65,90.3,70.59,82.88,86.43,91.65,61.0
contrast_group,bajo_contraste,212,92,120,0.8867924528301887,0.9130434782608695,0.8666666666666667,0.84,0.875,0.9536231884057971,84,104,16,8,0.4904401591970181,88.68,91.3,86.67,84.0,87.5,95.36,49.04
contrast_group,contraste_intermedio,212,98,114,0.8301886792452831,0.8571428571428571,0.8070175438596491,0.7924528301886793,0.8235294117647058,0.9067311134980307,84,92,22,14,0.4651408994500086,83.02,85.71,80.7,79.25,82.35,90.67,46.51
sharpness_group,alta_nitidez,219,120,99,0.8401826484018264,0.9166666666666666,0.7474747474747475,0.8148148148148148,0.8627450980392157,0.9396464646464646,110,74,25,10,0.5815251734167269,84.02,91.67,74.75,81.48,86.27,93.96,58.15
sharpness_group,baja_nitidez,212,92,120,0.8537735849056604,0.8260869565217391,0.875,0.8351648351648352,0.8306010928961749,0.9257246376811593,76,105,15,16,0.42316888667256486,85.38,82.61,87.5,83.52,83.06,92.57,42.32
sharpness_group,nitidez_intermedia,212,112,100,0.8490566037735849,0.9196428571428571,0.77,0.8174603174603174,0.865546218487395,0.9184821428571429,103,77,23,9,0.5618009256805241,84.91,91.96,77.0,81.75,86.55,91.85,56.18
saturation_group,alta_saturacion,219,121,98,0.8949771689497716,0.8925619834710744,0.8979591836734694,0.9152542372881356,0.9037656903765691,0.94046213526733,108,88,10,13,0.5385626562143842,89.5,89.26,89.8,91.53,90.38,94.05,53.86
saturation_group,baja_saturacion,212,113,99,0.7830188679245284,0.8761061946902655,0.6767676767676768,0.7557251908396947,0.8114754098360656,0.9019397514972736,99,67,32,14,0.5691575994187931,78.3,87.61,67.68,75.57,81.15,90.19,56.92
saturation_group,saturacion_intermedia,212,90,122,0.8632075471698113,0.9111111111111111,0.8278688524590164,0.7961165048543689,0.8497409326424871,0.9367030965391622,82,101,21,8,0.460193303817848,86.32,91.11,82.79,79.61,84.97,93.67,46.02
